Company,SIC,IndustryClassification,Industry,FiscalYearEnd,FiscalYear,Date,Assets,StockholdersEquity,Revenue,NetIncome,ProfitMargin
PHILIP MORRIS INTERNATIONAL INC.,2111,Tobacco Products,Manufacturing,1231,2020,12/31/2020,44815000000,-12567000000,28694000000,8056000000,0.2808
NXP SEMICONDUCTORS N.V.,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,24353000000,8644000000,13276000000,2797000000,0.2107
NXP SEMICONDUCTORS N.V.,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,23236000000,7449000000,13205000000,2787000000,0.2111
NXP SEMICONDUCTORS N.V.,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,20864000000,6528000000,11063000000,1871000000,0.1691
NXP SEMICONDUCTORS N.V.,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,19847000000,8944000000,8612000000,52000000,0.0060
FIRST FOUNDATION INC.,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,13327248000,925343000,35272000,-199064000,-5.6437
FIRST FOUNDATION INC.,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,13014179000,1134378000,38787000,110512000,2.8492
FIRST FOUNDATION INC.,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,10196204000,1064051000,36022000,109511000,3.0401
FIRST FOUNDATION INC.,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,6957160000,695711000,29465000,84369000,2.8634
ECHOSTAR CORP,4899,Communications,Transportation & Public Utilities,1231,2023,12/31/2023,57108894000,19880177000,17015598000,-1702057000,-0.1000
ECHOSTAR CORP,4899,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,6199003000,3502619000,1998093000,177051000,0.0886
ECHOSTAR CORP,4899,Communications,Transportation & Public Utilities,1231,2021,12/31/2021,6045204000,3353827000,1985720000,72875000,0.0367
ECHOSTAR CORP,4899,Communications,Transportation & Public Utilities,1231,2020,12/31/2020,7073352000,3542334000,1887907000,-40150000,-0.0213
"HILLENBRAND, INC.",3990,Miscellaneous Manufacturing Industries,Manufacturing,930,2023,9/30/2023,5547700000,1630300000,2826000000,569700000,0.2016
"HILLENBRAND, INC.",3990,Miscellaneous Manufacturing Industries,Manufacturing,930,2022,9/30/2022,3867500000,1082900000,2940900000,208900000,0.0710
"HILLENBRAND, INC.",3990,Miscellaneous Manufacturing Industries,Manufacturing,930,2021,9/30/2021,4014900000,1209600000,2864800000,249900000,0.0872
"TWITTER, INC.",7370,Business Services,Services,1231,2021,12/31/2021,14059516000,7307199000,5077482000,-221409000,-0.0436
"TWITTER, INC.",7370,Business Services,Services,1231,2020,12/31/2020,13379090000,7970082000,3716349000,-1135626000,-0.3056
AVAYA HOLDINGS CORP.,7372,Business Services,Services,930,2022,9/30/2022,4073000000,-1302000000,2490000000,-2096000000,-0.8418
AVAYA HOLDINGS CORP.,3661,Electronic & Other Electric Equipment,Manufacturing,930,2021,9/30/2021,5985000000,392000000,2973000000,-13000000,-0.0044
"APPLE HOSPITALITY REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,4937298000,3323981000,1343800000,177489000,0.1321
"APPLE HOSPITALITY REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,4772714000,3178395000,1238417000,144805000,0.1169
"APPLE HOSPITALITY REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,4790527000,3147321000,933869000,18828000,0.0202
"APPLE HOSPITALITY REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,4829759000,3029347000,601879000,-173207000,-0.2878
KEURIG DR PEPPER INC.,2080,Food & Kindred Products,Manufacturing,1231,2023,12/31/2023,52130000000,25676000000,14814000000,2181000000,0.1472
KEURIG DR PEPPER INC.,2080,Food & Kindred Products,Manufacturing,1231,2022,12/31/2022,51837000000,25126000000,14057000000,1436000000,0.1022
KEURIG DR PEPPER INC.,2080,Food & Kindred Products,Manufacturing,1231,2021,12/31/2021,50598000000,24972000000,12683000000,2146000000,0.1692
KEURIG DR PEPPER INC.,2080,Food & Kindred Products,Manufacturing,1231,2020,12/31/2020,49779000000,23829000000,11618000000,1325000000,0.1140
IRIDIUM COMMUNICATIONS INC.,3669,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,2661775000,888099000,790723000,15415000,0.0195
IRIDIUM COMMUNICATIONS INC.,3669,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,2954011000,1128555000,721034000,8722000,0.0121
IRIDIUM COMMUNICATIONS INC.,3669,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,3180795000,1287947000,614500000,-9319000,-0.0152
IRIDIUM COMMUNICATIONS INC.,3669,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,3360949000,1419439000,583439000,-56054000,-0.0961
ATLANTIC POWER CORP,4900,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2020,12/31/2020,847200000,-10200000,272000000,74200000,0.2728
"SOLAREDGE TECHNOLOGIES, INC.",3674,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,4587731000,2411909000,2976528000,34329000,0.0115
"SOLAREDGE TECHNOLOGIES, INC.",3674,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,4265949000,2176366000,3110279000,93779000,0.0302
"SOLAREDGE TECHNOLOGIES, INC.",3674,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,2892060000,1310039000,1963865000,169170000,0.0861
"SOLAREDGE TECHNOLOGIES, INC.",3674,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,2437109000,1085757000,1459271000,140322000,0.0962
ENOVIS CORP,3842,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,4509334000,3418392000,1707197000,-33261000,-0.0195
ENOVIS CORP,3842,Instruments & Related Products,Manufacturing,1231,2022,12/31/2022,4273248000,3448085000,1563101000,-13292000,-0.0085
COLFAX CORP,3561,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,8515345000,4617378000,3854303000,71657000,0.0186
COLFAX CORP,3561,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,7351549000,3543387000,3070769000,42625000,0.0139
VERSO CORP,2621,Paper & Allied Products,Manufacturing,1231,2021,12/31/2021,1055000000,699000000,1278000000,-3000000,-0.0023
VERSO CORP,2621,Paper & Allied Products,Manufacturing,1231,2020,12/31/2020,1245000000,684000000,1359000000,-101000000,-0.0743
"ENERGY RECOVERY, INC.",3559,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,252974000,219808000,128349000,21504000,0.1675
"ENERGY RECOVERY, INC.",3559,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,217039000,185338000,125591000,24049000,0.1915
"ENERGY RECOVERY, INC.",3559,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,213690000,178779000,103904000,14269000,0.1373
"PUBMATIC, INC.",7370,Business Services,Services,1231,2023,12/31/2023,695243000,296199000,267014000,8881000,0.0333
"PUBMATIC, INC.",7370,Business Services,Services,1231,2022,12/31/2022,642175000,312188000,256380000,28705000,0.1120
QUANEX BUILDING PRODUCTS CORP,3350,Primary Metal Industries,Manufacturing,1031,2023,10/31/2023,831143000,545554000,1130583000,82501000,0.0730
QUANEX BUILDING PRODUCTS CORP,3350,Primary Metal Industries,Manufacturing,1031,2022,10/31/2022,724617000,464835000,1221502000,88336000,0.0723
QUANEX BUILDING PRODUCTS CORP,3350,Primary Metal Industries,Manufacturing,1031,2021,10/31/2021,717323000,419782000,1072149000,56980000,0.0531
ZUORA INC,7372,Business Services,Services,131,2023,1/31/2024,823836000,133687000,431661000,-68193000,-0.1580
ZUORA INC,7372,Business Services,Services,131,2022,1/31/2023,668598000,97160000,396087000,-197970000,-0.4998
ZUORA INC,7372,Business Services,Services,131,2021,1/31/2022,441252000,170607000,346738000,-99425000,-0.2867
ZUORA INC,7372,Business Services,Services,131,2020,1/31/2021,421507000,171913000,305420000,-73174000,-0.2396
PCB BANCORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,2789506000,348872000,2650000,30705000,11.5868
PCB BANCORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,2420036000,335442000,2642000,34987000,13.2426
PCB BANCORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,2149735000,256286000,2369000,40103000,16.9282
PCB BANCORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,1922853000,233788000,2231000,16175000,7.2501
"BROADSTONE NET LEASE, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,5268735000,3049241000,442888000,155478000,0.3511
"BROADSTONE NET LEASE, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,5457609000,3092918000,407513000,122115000,0.2997
FOX FACTORY HOLDING CORP,3751,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,2242298000,1221761000,1464178000,120846000,0.0825
FOX FACTORY HOLDING CORP,3751,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,1618336000,1121386000,1602491000,205278000,0.1281
FOX FACTORY HOLDING CORP,3751,Transportation Equipment,Manufacturing,1231,2021,12/31/2021,1515729000,894082000,1299064000,163818000,0.1261
FOX FACTORY HOLDING CORP,3751,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,1286561000,719171000,890554000,90674000,0.1018
"IOVANCE BIOTHERAPEUTICS, INC.",2836,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,780351000,584613000,1189000,-444037000,-373.4542
WORKHORSE GROUP INC.,3711,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,632542369,395204334,1392519,69776499,50.1081
ORTHOPEDIATRICS CORP,3841,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,438745000,377025000,148732000,-20974000,-0.1410
NGM BIOPHARMACEUTICALS INC,2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,307402000,259560000,55333000,-162667000,-2.9398
NGM BIOPHARMACEUTICALS INC,2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,402387000,335647000,77882000,-120335000,-1.5451
BRISTOL MYERS SQUIBB CO,2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,95159000000,29430000000,45006000000,8025000000,0.1783
BRISTOL MYERS SQUIBB CO,2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,96820000000,31061000000,46159000000,6327000000,0.1371
BRISTOL MYERS SQUIBB CO,2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,1.09314E+11,35946000000,46385000000,6994000000,0.1508
BRISTOL MYERS SQUIBB CO,2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,1.18481E+11,37822000000,42518000000,-9015000000,-0.2120
"HEALTHEQUITY, INC.",7389,Business Services,Services,131,2023,1/31/2024,3163790000,2035021000,999587000,55712000,0.0557
"HEALTHEQUITY, INC.",7389,Business Services,Services,131,2022,1/31/2023,3088900000,1895640000,861748000,-26143000,-0.0303
"HEALTHEQUITY, INC.",7389,Business Services,Services,131,2021,1/31/2022,3107102000,1852575000,756556000,-44289000,-0.0585
"HEALTHEQUITY, INC.",7389,Business Services,Services,131,2020,1/31/2021,2710407000,1378728000,733570000,8834000,0.0120
"ROKU, INC",4841,Communications,Transportation & Public Utilities,1231,2023,12/31/2023,4261792000,2326333000,3484619000,-709561000,-0.2036
"ROKU, INC",4841,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,4412601000,2646556000,3126534000,-498005000,-0.1593
"ROKU, INC",4841,Communications,Transportation & Public Utilities,1231,2021,12/31/2021,4082145000,2766606000,2764584000,242385000,0.0877
"ROKU, INC",4841,Communications,Transportation & Public Utilities,1231,2020,12/31/2020,2270542000,1328015000,1778388000,-17507000,-0.0098
"RADIUS HEALTH, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,181542000,-252304000,229973000,-70176000,-0.3051
"RADIUS HEALTH, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,191582000,-123659000,238645000,-109208000,-0.4576
TERMINIX GLOBAL HOLDINGS INC,8741,Engineering & Management Services,Services,1231,2021,12/31/2021,4410000000,2375000000,2045000000,125000000,0.0611
TERMINIX GLOBAL HOLDINGS INC,8741,Engineering & Management Services,Services,1231,2020,12/31/2020,4837000000,2741000000,1961000000,551000000,0.2810
BLINK CHARGING CO.,3790,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,428519000,289397000,140598000,-203693000,-1.4488
BLINK CHARGING CO.,3790,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,362542000,260957000,61139000,-91560000,-1.4976
OLO INC.,7389,Business Services,Services,1231,2023,12/31/2023,742819000,651471000,228289000,-58287000,-0.2553
META MATERIALS INC.,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,434024451,334708115,4082517,-90997261,-22.2895
KALTURA INC,7372,Business Services,Services,1231,2023,12/31/2023,183736000,30320000,175172000,-46366000,-0.2647
APPFOLIO INC,7372,Business Services,Services,1231,2023,12/31/2023,408889000,297312000,620445000,2702000,0.0044
APPFOLIO INC,7372,Business Services,Services,1231,2022,12/31/2022,381217000,265546000,471883000,-68119000,-0.1444
APPFOLIO INC,7372,Business Services,Services,1231,2021,12/31/2021,408017000,297381000,359370000,1028000,0.0029
APPFOLIO INC,7372,Business Services,Services,1231,2020,12/31/2020,389480000,285920000,310056000,158403000,0.5109
ANTERO RESOURCES CORP,1311,Oil & Gas Extraction,Mining,1231,2023,12/31/2023,13619414000,6981404000,4681972000,242919000,0.0519
ANTERO RESOURCES CORP,1311,Oil & Gas Extraction,Mining,1231,2022,12/31/2022,14118039000,6754558000,7138436000,1898771000,0.2660
ANTERO RESOURCES CORP,1311,Oil & Gas Extraction,Mining,1231,2021,12/31/2021,13896528000,5757160000,4619432000,-186899000,-0.0405
ANTERO RESOURCES CORP,1311,Oil & Gas Extraction,Mining,1231,2020,12/31/2020,13150845000,5767705000,3491699000,-1267897000,-0.3631
HAMILTON LANE INC,6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",331,2023,3/31/2024,1271200000,525153000,553842000,140858000,0.2543
HAMILTON LANE INC,6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",331,2022,3/31/2023,1140543000,415444000,528753000,109120000,0.2064
HAMILTON LANE INC,6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",331,2021,3/31/2022,1294946000,346878000,367919000,145986000,0.3968
HAMILTON LANE INC,6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",331,2020,3/31/2021,1136519000,238129000,341635000,98022000,0.2869
JOHN BEAN TECHNOLOGIES CORP,3550,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,2710400000,1488900000,1664400000,582600000,0.3500
JOHN BEAN TECHNOLOGIES CORP,3550,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,2584100000,862700000,2166000000,130700000,0.0603
JOHN BEAN TECHNOLOGIES CORP,3550,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,2141400000,750500000,1868300000,118400000,0.0634
JOHN BEAN TECHNOLOGIES CORP,3550,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,1805900000,637100000,1727800000,108800000,0.0630
"CASTLIGHT HEALTH, INC.",7374,Business Services,Services,1231,2020,12/31/2020,166773000,123866000,146709000,-62183000,-0.4239
FATE THERAPEUTICS INC,2836,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,705561000,483939000,96300000,-281721000,-2.9255
FATE THERAPEUTICS INC,2836,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,921455000,678838000,55846000,-212151000,-3.7989
FATE THERAPEUTICS INC,2836,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,622457000,384445000,31434000,-173387000,-5.5159
"GRAND CANYON EDUCATION, INC.",8200,Educational Services,Services,1231,2023,12/31/2023,930463000,718014000,960899000,204985000,0.2133
"GRAND CANYON EDUCATION, INC.",8200,Educational Services,Services,1231,2022,12/31/2022,832749000,637619000,911306000,184675000,0.2026
"GRAND CANYON EDUCATION, INC.",8200,Educational Services,Services,1231,2021,12/31/2021,1222745000,1045047000,896564000,260344000,0.2904
"GRAND CANYON EDUCATION, INC.",8200,Educational Services,Services,1231,2020,12/31/2020,1844579000,1574329000,844096000,257196000,0.3047
"LENDINGTREE, INC.",6163,Nondepository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,802759000,124132000,672502000,-122404000,-0.1820
"LENDINGTREE, INC.",6163,Nondepository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,1199313000,207940000,984992000,-187952000,-0.1908
"LENDINGTREE, INC.",6163,Nondepository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,1299356000,447992000,1098499000,69115000,0.0629
"LENDINGTREE, INC.",6163,Nondepository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,1188990000,364761000,909990000,-48255000,-0.0530
"ESPERION THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,381590000,-196944000,78447000,-269108000,-3.4304
"ESPERION THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,353258000,-96134000,227547000,-143551000,-0.6309
"CHINOOK THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,574084000,441941000,6128000,-187865000,-30.6568
"FIRST SAVINGS FINANCIAL GROUP, INC.",6035,Depository Institutions,"Finance, Insurance, & Real Estate",930,2023,9/30/2023,2288854000,150981000,5630000,8172000,1.4515
"FIRST SAVINGS FINANCIAL GROUP, INC.",6035,Depository Institutions,"Finance, Insurance, & Real Estate",930,2022,9/30/2022,2057662000,152623000,5444000,16444000,3.0206
"MISTRAS GROUP, INC.",8711,Engineering & Management Services,Services,1231,2023,12/31/2023,534776000,190192000,705473000,-17453000,-0.0247
"MISTRAS GROUP, INC.",8711,Engineering & Management Services,Services,1231,2022,12/31/2022,534904000,198450000,687373000,6499000,0.0095
"MISTRAS GROUP, INC.",8711,Engineering & Management Services,Services,1231,2021,12/31/2021,562195000,200683000,677131000,3860000,0.0057
"MISTRAS GROUP, INC.",8711,Engineering & Management Services,Services,1231,2020,12/31/2020,583313000,197021000,592571000,-99461000,-0.1678
LEGACY HOUSING CORP,2451,Lumber & Wood Products,Manufacturing,1231,2023,12/31/2023,506742000,436735000,189144000,54460000,0.2879
LEGACY HOUSING CORP,2451,Lumber & Wood Products,Manufacturing,1231,2022,12/31/2022,436813000,382104000,257015000,67773000,0.2637
LEGACY HOUSING CORP,2451,Lumber & Wood Products,Manufacturing,1231,2021,12/31/2021,366667000,309394000,197507000,49871000,0.2525
"WARNER BROS. DISCOVERY, INC.",4841,Communications,Transportation & Public Utilities,1231,2023,12/31/2023,1.22757E+11,45226000000,41321000000,-3126000000,-0.0757
"WARNER BROS. DISCOVERY, INC.",4841,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,1.34001E+11,47095000000,33817000000,-7371000000,-0.2180
"DISCOVERY, INC.",4841,Communications,Transportation & Public Utilities,1231,2021,12/31/2021,34427000000,11599000000,12191000000,1006000000,0.0825
"DISCOVERY, INC.",4841,Communications,Transportation & Public Utilities,1231,2020,12/31/2020,34087000000,10464000000,10671000000,1219000000,0.1142
"EVERBRIDGE, INC.",7372,Business Services,Services,1231,2023,12/31/2023,1025885000,302309000,448788000,-47305000,-0.1054
"EVERBRIDGE, INC.",7372,Business Services,Services,1231,2022,12/31/2022,1125664000,289111000,431892000,-61174000,-0.1416
"EVERBRIDGE, INC.",7372,Business Services,Services,1231,2021,12/31/2021,1479015000,462689000,368433000,-94796000,-0.2573
"EVERBRIDGE, INC.",7372,Business Services,Services,1231,2020,12/31/2020,960944000,252305000,271141000,-93396000,-0.3445
"ARDELYX, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,297579000,166816000,124456000,-66067000,-0.5308
"ARDELYX, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,149913000,82617000,10097000,-158165000,-15.6646
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Social Services,Services,1231,2023,12/31/2023,3896144000,1212676000,2418257000,74223000,0.0307
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Social Services,Services,1231,2022,12/31/2022,3798869000,1080453000,2020487000,80641000,0.0399
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Social Services,Services,1231,2021,12/31/2021,3640047000,1179276000,1755307000,70459000,0.0401
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Social Services,Services,1231,2020,12/31/2020,3726648000,1283797000,1515093000,26992000,0.0178
TANDEM DIABETES CARE INC,3841,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,952658000,313632000,747718000,-222611000,-0.2977
TANDEM DIABETES CARE INC,3841,Instruments & Related Products,Manufacturing,1231,2022,12/31/2022,1052785000,439947000,801217000,-94594000,-0.1181
TANDEM DIABETES CARE INC,3841,Instruments & Related Products,Manufacturing,1231,2021,12/31/2021,905137000,433112000,702799000,15566000,0.0221
TANDEM DIABETES CARE INC,3841,Instruments & Related Products,Manufacturing,1231,2020,12/31/2020,716415000,366305000,498830000,-34382000,-0.0689
"TRAVERE THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,788913000,200810000,145238000,-111399000,-0.7670
"TRAVERE THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,672585000,42851000,212018000,-278482000,-1.3135
"TRAVERE THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,776633000,302112000,227490000,-180091000,-0.7916
"TRAVERE THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,607439000,211213000,198321000,-169431000,-0.8543
MRC GLOBAL INC.,5084,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2023,12/31/2023,1886000000,488000000,3412000000,114000000,0.0334
MRC GLOBAL INC.,5084,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2022,12/31/2022,1895000000,386000000,3363000000,75000000,0.0223
MRC GLOBAL INC.,5084,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2021,12/31/2021,1671000000,323000000,2666000000,-14000000,-0.0053
MRC GLOBAL INC.,5084,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2020,12/31/2020,1781000000,350000000,2560000000,-274000000,-0.1070
"AGIOS PHARMACEUTICALS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,937118000,811019000,26823000,-352088000,-13.1263
"AGIOS PHARMACEUTICALS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,1238718000,1100814000,14240000,-231801000,-16.2782
"AGIOS PHARMACEUTICALS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,852952000,399500000,203196000,-327370000,-1.6111
ZURN ELKAY WATER SOLUTIONS CORP,3560,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,2667000000,1602800000,1530500000,112700000,0.0736
ZURN ELKAY WATER SOLUTIONS CORP,3560,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,2864000000,1615000000,1281800000,61700000,0.0481
ZURN WATER SOLUTIONS CORP,3560,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,1077700000,126400000,910900000,120900000,0.1327
ZYNGA INC,7374,Business Services,Services,1231,2021,12/31/2021,6358900000,3111900000,2800500000,-104200000,-0.0372
ZYNGA INC,7374,Business Services,Services,1231,2020,12/31/2020,6206500000,2941500000,1974800000,-429400000,-0.2174
CLEARWATER PAPER CORP,2631,Paper & Allied Products,Manufacturing,1231,2023,12/31/2023,1671800000,668800000,2082800000,107700000,0.0517
CLEARWATER PAPER CORP,2631,Paper & Allied Products,Manufacturing,1231,2022,12/31/2022,1703500000,572100000,2080100000,46000000,0.0221
CLEARWATER PAPER CORP,2631,Paper & Allied Products,Manufacturing,1231,2021,12/31/2021,1690100000,511700000,1772600000,-28100000,-0.0159
CLEARWATER PAPER CORP,2631,Paper & Allied Products,Manufacturing,1231,2020,12/31/2020,1800400000,521100000,1868600000,77100000,0.0413
APPIAN CORP,7372,Business Services,Services,1231,2023,12/31/2023,627503000,52341000,545363000,-111441000,-0.2043
APPIAN CORP,7372,Business Services,Services,1231,2022,12/31/2022,594214000,145700000,467991000,-150920000,-0.3225
APPIAN CORP,7372,Business Services,Services,1231,2021,12/31/2021,504519000,233917000,369259000,-88641000,-0.2401
APPIAN CORP,7372,Business Services,Services,1231,2020,12/31/2020,512521000,296605000,304573000,-33477000,-0.1099
"MONGODB, INC.",7372,Business Services,Services,131,2023,1/31/2024,2869642000,1068989000,1683011000,-176600000,-0.1049
"MONGODB, INC.",7372,Business Services,Services,131,2022,1/31/2023,2588893000,739508000,1284040000,-345398000,-0.2690
"MONGODB, INC.",7372,Business Services,Services,131,2021,1/31/2022,2449588000,666700000,873782000,-306866000,-0.3512
"MONGODB, INC.",7372,Business Services,Services,131,2020,1/31/2021,1407495000,-5033000,590380000,-266944000,-0.4522
"VERISK ANALYTICS, INC.",7374,Business Services,Services,1231,2023,12/31/2023,4366100000,310000000,2681400000,614600000,0.2292
"VERISK ANALYTICS, INC.",7374,Business Services,Services,1231,2022,12/31/2022,6961100000,1749300000,2497000000,953900000,0.3820
"VERISK ANALYTICS, INC.",7374,Business Services,Services,1231,2021,12/31/2021,7808100000,2816500000,2998600000,666200000,0.2222
"VERISK ANALYTICS, INC.",7374,Business Services,Services,1231,2020,12/31/2020,7561800000,2698200000,2784600000,712700000,0.2559
"BLUEROCK RESIDENTIAL GROWTH REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,2599333000,83874000,220651000,3473000,0.0157
"BLUEROCK RESIDENTIAL GROWTH REIT, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,2489937000,58406000,219848000,-44674000,-0.2032
"MERSANA THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,206111000,121741000,43000,-170060000,-3954.8837
"MERSANA THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,273399000,228087000,828000,-88045000,-106.3345
BOOZ ALLEN HAMILTON HOLDING CORP,8742,Engineering & Management Services,Services,331,2023,3/31/2024,6563688000,1046562000,10661896000,605706000,0.0568
BOOZ ALLEN HAMILTON HOLDING CORP,8742,Engineering & Management Services,Services,331,2022,3/31/2023,6550652000,992002000,9258911000,271791000,0.0294
BOOZ ALLEN HAMILTON HOLDING CORP,8742,Engineering & Management Services,Services,331,2021,3/31/2022,6025575000,1046070000,8363700000,466740000,0.0558
BOOZ ALLEN HAMILTON HOLDING CORP,8742,Engineering & Management Services,Services,331,2020,3/31/2021,5499601000,1071176000,7858938000,608958000,0.0775
NEVRO CORP,3841,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,635713000,293145000,425174000,-92213000,-0.2169
NEVRO CORP,3841,Instruments & Related Products,Manufacturing,1231,2022,12/31/2022,602408000,323876000,406365000,3001000,0.0074
